case,location,date,year,race,gender,fatalities,injured,total_victims,location,latitude,longitude,type,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,sources,mental_health_sources,sources_additional_age,summary,,,,,,
FedEx warehouse shooting,"Indianapolis, Indiana",4/15/2021,2021,White,Male,8,7,15,Workplace,39.68663,-86.32313,Mass,19,yes,Perpetrator had been reported to police in 2020 by his mother as potentially suicidal; he was detained by authorities on a temporary mental health hold,yes,N/a,semiautomatic rifle,N/a,https://www.indystar.com/story/news/crime/2021/04/16/indianapolisN/afedexN/ashootingN/agunmanN/aparkedN/acarN/aandN/abeganN/arandomlyN/afiringN/apoliceN/asay/7251130002/; https://www.washingtonpost.com/nation/2021/04/16/indianapolisN/afedexN/ashootingN/aairport/; https://apnews.com/article/fedexN/aindianapolisN/amassN/ashootingN/ae92ad3117c56357b3b2c71a2903e68a8; https://www.nytimes.com/2021/04/19/us/indianapolisN/ashootingN/aredN/aflagN/alaw.html,https://www.nytimes.com/2021/04/19/us/indianapolisN/ashootingN/aredN/aflagN/alaw.html,N/a,"Brandon Scott Hole, 19, opened fire around 11 p.m. in the parking lot and inside the warehouse, and then shot himself fatally as police responded to the scene.",,,,,,
Orange office complex shooting,"Orange, California",3/31/2021,2021,N/a,Male,4,1,5,Workplace,33.83542,-117.85379,Mass,44,N/a,N/a,N/a,N/a,semiautomatic handgun,N/a,https://www.latimes.com/california/story/2021N/a03N/a31/orangeN/amassN/ashootingN/areported; https://www.ocregister.com/2021/03/31/orangeN/ashootingN/adrawsN/alargeN/apoliceN/aresponseN/amultipleN/avictimsN/afound/; https://www.sandiegouniontribune.com/news/california/story/2021N/a04N/a01/policeN/acaliforniaN/aofficeN/aattackN/athatN/akilledN/a4N/awasntN/arandom,N/a,,"Aminadab Gaxiola Gonzalez, 44, allegedly opened fire inside a small business at an office complex, killing at least four victims, including a nineN/ayearN/aold boy, before being wounded in a confrontation with police and taken into custody. According to law enforcement officials, Gonzalez had chained the front and rear gates to the complex with bicycle cable locks to hinder police response.",,,,,,
Boulder supermarket shooting,"Boulder, Colorado",3/22/2021,2021,N/a,Male,10,0,10,Workplace,39.986961,-105.251168,Mass,21,yes,Brother described him as paranoid; multiple accounts of anger issues from others who knew him. Misdemeanor criminal record for a violent assault during his senior year in high school.,Yes,N/a,"semiautomatic rifle, semiautomatic handgun; tactical vest",Ruger ARN/a556; weapon was purchased six days before the attack,https://www.denverpost.com/2021/03/22/policeN/aactiveN/ashooterN/ashootingN/akingN/asoopersN/aboulder/; https://www.cnn.com/2021/03/23/us/boulderN/acoloradoN/ashootingN/asuspect/index.html; https://www.nbcnews.com/news/usN/anews/manN/achargedN/a10N/acountsN/afirstN/adegreeN/amurderN/aafterN/ashootingN/acoloradoN/an1261808; https://www.latimes.com/worldN/anation/story/2021N/a03N/a22/policeN/arespondingN/atoN/aactiveN/ashooterN/aatN/acoloradoN/asupermarket; https://denver.cbslocal.com/2021/03/25/groceryN/astoreN/ashootingN/awhoN/aisN/aahmadN/aalN/aissaN/aahmadN/aalN/aaliwiN/aalissa/; https://www.nytimes.com/2021/03/27/us/boulderN/agunmanN/aalissa.html,https://www.thedailybeast.com/boulderN/acoloradoN/acopsN/aidentifyN/akingN/asoopersN/asupermarketN/amassacreN/asuspectN/aasN/aahmadN/aalissa,N/a,"Ahmad Al Aliwi Alissa, 21, carried out a mass shooting at a King Soopers that left 10 victims dead, including veteran police officer Eric Talley, who was the first officer to respond on the scene. Alissa was wounded by police and taken into custody.",,,,,,
Atlanta massage parlor shootings,"Atlanta, Georgia",3/16/2021,2021,White,Male,8,1,9,Workplace,34.111653,-84.580376,Spree,21,N/a,N/a,N/a,N/a,N/a,N/a,https://www.ajc.com/news/breakingN/amultipleN/ashootingsN/ashutN/adownN/abusyN/awoodstockN/ahighway/OLE23RVIO5BE3ELWBZAA6GVSSA/; https://www.nytimes.com/2021/03/16/us/atlantaN/ashootingsN/amassageN/aparlor.html; https://www.washingtonpost.com/nation/2021/03/16/atlantaN/aspaN/ashootings/; https://apnews.com/article/georgiaN/amassageN/aparlorN/ashootingsN/aleaveN/a8N/adeadN/af3841a8e0215d3ab3d1f23d489b7af81,N/a,N/a,"Robert Aaron Long, 21, killed eight people at three massage parlors. An additional victim was injured. Six of the deceased victims were women of Asian descent. According to law enforcement officials, Long, who is white, made claims in custody about having sexual addiction issues, and had frequented the massage parlors. He also spoke of intent to attack additional locations in Florida.",,,,,,
Springfield convenience store shooting,"Springfield, Missouri",3/16/2020,2020,N/a,Male,4,0,4,Workplace,37.210432,-93.23686,Mass,31,N/a,N/a,N/a,N/a,N/a,N/a,https://www.kiro7.com/news/trending/iveN/abeenN/ashotN/aaudioN/apaintsN/afranticN/apictureN/ashootingN/athatN/akilledN/amissouriN/aofficerN/a3N/aothers/THC32OGO75BR7FLTMXL4VUFYFE/; https://www.nytimes.com/2020/03/16/us/springfieldN/amissouriN/ashooting.html; https://www.nytimes.com/2020/03/21/us/coronavirusN/aspringfieldN/amissouriN/ashooting.html,N/a,N/a,"Joaquin S. Roman, 31, went on a rampage culminating at a Kum & Go, killing four people, including a police officer, before fatally shooting himself on the scene.",,,,,,
Molson Coors shooting,"Milwaukee, Wisconsin",2/26/2020,2020,Black,Male,5,0,5,Workplace,43.044511,-87.962537,Mass,51,N/a,N/a,N/a,N/a,semiautomatic handgun,N/a,https://www.jsonline.com/story/news/local/2020/02/26/activeN/ashooterN/areportedN/amolsoncoorsN/acampusN/aunknownN/ainjuries/4884282002/; https://www.cnn.com/2020/02/26/us/milwaukeeN/acriticalN/aincident/index.html; https://www.nytimes.com/2020/02/26/us/milwaukeeN/ashootingN/amillerN/acoors.html; https://www.jsonline.com/story/news/politics/2020/02/28/milwaukeeN/amolsonN/acoorsN/ashootingN/agwenN/amooreN/asaysN/avictimN/aoldN/afriend/4902693002/,N/a,N/a,"Anthony Ferrill, 51, an employee armed with two handguns, including one with a silencer, opened fire on the Milwaukee campus of the beer company, killing five people and then committing suicide. According to the Milwaukee Journal Sentinel, Ferrill ""had been involved in a longN/arunning dispute with a coN/aworker that boiled over"" in the runN/aup to the attack.",,,,,,
Jersey City kosher market shooting,"Jersey City, New Jersey",12/10/2019,2019,Black,Male & Female,4,3,7,Other,40.707363,-74.083609,Spree,47,N/a,N/a,N/a,N/a,N/a,N/a,https://www.nytimes.com/2019/12/15/nyregion/jerseyN/acityN/ashootingN/aterrorism.html; https://twitter.com/fbimostwanted/status/1205621200505802752?s=21; https://www.nytimes.com/2019/12/12/nyregion/jerseyN/acityN/ashootingN/adomesticN/aterrorism.html?smid=nytcoreN/aiosN/ashare; https://www.nytimes.com/2019/12/11/nyregion/jerseyN/acityN/ashooting.html,N/a,N/a,"David N. Anderson, 47, and Francine Graham, 50, were heavily armed and traveling in a white van when they first killed a police officer in a cemetery, and then opened fire at a kosher market, “fueled both by antiN/aSemitism and antiN/alaw enforcement beliefs,” according to New Jersey authorities. The pair, linked to the antisemitic ideology of the Black Hebrew Israelites extremist group, were killed after a lenghty gun battle with police at the market.",,,,,,
Pensacola Naval base shooting,"Pensacola, Florida",12/6/2019,2019,N/a,Male,3,8,11,Military,30.364707,-87.288567,Mass,21,N/a,N/a,N/a,N/a,semiautomatic handgun,N/a,https://www.washingtonpost.com/nationalN/asecurity/2019/12/06/navalN/astationN/apensacolaN/aactiveN/ashooter/; https://www.cnn.com/us/liveN/anews/pensacolaN/anavalN/abaseN/ashooter/index.html,N/a,N/a,"Ahmed Mohammed alN/aShamrani, A Saudi Arabian military pilot training in the United States, opened fire just before 7 a.m. in an air station classroom. He was soon shot and killed by responding Florida sheriff’s deputies.",,,,,,
Odessa-Midland shooting spree,"Odessa, Texas",8/31/2019,2019,White,Male,7,25,32,Other,31.925974,-102.2796,Spree,36,yes,"""One friend of the family said the gunman had a long history of mental problems, trouble with the law and making racist comments,"" according to a report in the New York Times.",N/a,N/a,semiautomatic rifle,N/a,https://www.washingtonpost.com/politics/5N/akilledN/a21N/ainjuredN/aafterN/asuspectN/ahijackedN/aaN/amailN/atruckN/ainN/aodessaN/atexas/2019/08/31/f659da2cN/acc3cN/a11e9N/abe05N/af76ac4ec618c_story.html; https://www.chron.com/news/texas/article/PoliceN/aMultipleN/agunshotN/avictimsN/afromN/aTexasN/a14404855.php; https://www.nytimes.com/2019/09/01/us/deathN/atollN/atexasN/ashooting.html; https://www.washingtonpost.com/nation/2019/09/02/texasN/agunmanN/awhoN/akilledN/awasN/afiredN/ajobN/adayN/arampage/; https://www.cnn.com/2019/09/02/us/westN/atexasN/ashootingN/amonday/index.html,https://www.nytimes.com/2019/09/02/us/texasN/agunmanN/aodessaN/amidland.html,N/a,"Seth A. Ator, 36, fired at police officers who stopped him for a traffic violation, and then went on a driving rampage in the OdessaN/aMidland region, where he also shot a postal worker and stole her vehicle. He was shot dead by law enforcement responding to the rampage. Ator had been fired from a job just prior to the attack (though per the FBI he had shown up to that job ""already enraged""). He had a criminal record and ""a long history of mental problems and making racist comments,"" according to a family friend who spoke to the media.",,,,,,
Dayton entertainment district shooting,"Dayton, Ohio",8/4/2019,2019,White,Male,9,27,36,Other,39.757312,-84.184947,Mass,24,N/a,N/a,Yes,N/a,semiautomatic rifle,"ARN/a15N/astyle rifle, with a 100N/around capacity ammunition drum",https://www.nytimes.com/2019/08/04/us/daytonN/aohioN/ashooting.html; https://www.nytimes.com/2019/08/04/us/massN/ashootingsN/adaytonN/aelN/apaso.html; https://www.washingtonpost.com/nation/2019/08/04/nineN/afatallyN/ashotN/adaytonN/aincludingN/asuspectN/adayN/aafterN/amassN/ashootingN/atexas/; https://www.washingtonpost.com/national/policeN/achiefN/aitN/aseemsN/atoN/adefyN/abelievabilityN/athatN/adaytonN/ashooterN/awouldN/akillN/ahisN/aownN/asister/2019/08/05/920a895cN/ab79eN/a11e9N/ab3b4N/a2bb69e8c4e39_story.html; https://www.cnn.com/2019/08/05/us/connorN/abettsN/adaytonN/ashootingN/aprofile/index.html,N/a,N/a,"Connor Betts, 24, died during the attack, following a swift police response. He wore tactical gear including body armor and hearing protection, and had an ammunition device capable of holding 100 rounds. Betts had a history of threatening behavior dating back to high school, including reportedly having hit lists targeting classmates for rape and murder.",,,,,,
